#{"t_start": 1519520023.2295725, "env_id": "KangarooNoFrameskip-v0"}
r,l,t
0.0,283,1674.507938
0.0,405,1676.147528
200.0,340,1677.583236
200.0,398,1679.20242
0.0,401,1680.7911
200.0,345,1682.23539
0.0,466,1684.036775
0.0,398,1685.650035
0.0,346,1687.123328
0.0,344,1688.570733
0.0,351,1689.928264
0.0,403,1691.544303
200.0,345,1692.989167
200.0,344,1694.424322
0.0,281,1695.54255
0.0,403,1697.134845
200.0,532,1699.352973
0.0,282,1700.44729
0.0,343,1701.884275
0.0,277,1702.966997
200.0,338,1704.213835
200.0,408,1705.854087
200.0,345,1707.302359
0.0,593,1709.761491
0.0,401,1711.357789
200.0,342,1712.604678
0.0,338,1714.021699
0.0,336,1715.255973
0.0,276,1716.528618
0.0,403,1718.168014
0.0,468,1719.961781
200.0,397,1721.60819
0.0,405,1723.211789
200.0,341,1724.648296
0.0,345,1726.113732
0.0,404,1727.856311
0.0,347,1729.379038
0.0,284,1730.804755
0.0,338,1732.180663
0.0,278,1733.418562
200.0,401,1735.060003
0.0,341,1736.523785
0.0,279,1737.65086
0.0,277,1738.828123
0.0,340,1740.351436
0.0,398,1741.980193
0.0,458,1743.823778
0.0,397,1745.425663
0.0,339,1746.877944
0.0,403,1748.564087
0.0,344,1750.221358
200.0,332,1751.504425
0.0,282,1752.622486
0.0,459,1754.8155
0.0,279,1756.061298
0.0,270,1757.244141
0.0,274,1758.399982
0.0,343,1759.95382
0.0,346,1761.282921
0.0,407,1762.932894
200.0,344,1765.484047
200.0,476,1771.312019
0.0,421,1772.9612
200.0,342,1774.394977
0.0,431,1776.060691
0.0,287,1777.177846
0.0,348,1778.670686
200.0,338,1779.907824
0.0,292,1781.020749
200.0,468,1783.031681
0.0,414,1784.647229
0.0,478,1786.644691
200.0,403,1788.267737
0.0,341,1789.725422
0.0,404,1791.311313
0.0,283,1792.406283
200.0,354,1793.870982
0.0,280,1794.95716
0.0,417,1796.57958
0.0,348,1797.857276
0.0,341,1799.294698
200.0,479,1801.267698
0.0,279,1802.360739
200.0,341,1803.609373
0.0,407,1805.389812
200.0,542,1807.542841
0.0,374,1809.087671
0.0,347,1810.374236
200.0,420,1812.23295
0.0,537,1814.373177
0.0,408,1815.987095
0.0,397,1817.565207
0.0,280,1818.686825
0.0,346,1820.186574
200.0,338,1821.443552
200.0,410,1823.056627
0.0,468,1825.053293
0.0,410,1826.673471
0.0,469,1828.641546
200.0,345,1829.95457
0.0,408,1831.567896
0.0,464,1833.521726
0.0,342,1835.032041
0.0,419,1836.719418
0.0,337,1837.954722
0.0,521,1840.082484
200.0,469,1842.054031
0.0,527,1844.287935
0.0,422,1845.952353
0.0,342,1847.599647
0.0,340,1848.988261
0.0,342,1850.514271
200.0,350,1852.007282
0.0,406,1853.636575
0.0,283,1854.746057
0.0,525,1856.887187
0.0,285,1858.030638
0.0,399,1859.607465
0.0,286,1860.72913
0.0,461,1862.71865
0.0,404,1864.310246
0.0,272,1865.402761
0.0,400,1866.994041
0.0,343,1868.451684
0.0,338,1869.747704
0.0,469,1871.697054
0.0,344,1873.131419
0.0,276,1874.210956
200.0,611,1876.567461
0.0,349,1878.053423
200.0,420,1879.796067
200.0,539,1882.193202
0.0,345,1883.825767
200.0,342,1885.370596
200.0,364,1886.680459
0.0,595,1889.275347
200.0,411,1890.98721
200.0,474,1893.083567
0.0,613,1895.612257
0.0,339,1896.889796
0.0,492,1898.913287
0.0,365,1900.447618
0.0,541,1902.596966
0.0,284,1903.730583
0.0,534,1905.903722
0.0,284,1907.004477
0.0,409,1908.625277
0.0,465,1910.579376
0.0,278,1911.66615
200.0,482,1913.649625
0.0,459,1915.464553
0.0,284,1916.57185
0.0,474,1918.60153
0.0,588,1921.053303
0.0,289,1922.199588
0.0,403,1923.852015
200.0,475,1925.964416
0.0,344,1927.306463
0.0,340,1928.893432
0.0,342,1930.281459
0.0,272,1931.46674
0.0,342,1933.138532
200.0,356,1934.697543
0.0,399,1936.35696
200.0,461,1938.185061
200.0,344,1939.80678
200.0,409,1941.604899
0.0,406,1943.42678
0.0,334,1944.97765
0.0,274,1946.205588
0.0,361,1947.856955
0.0,403,1949.634279
200.0,404,1951.432294
0.0,399,1953.185831
0.0,397,1954.990376
0.0,331,1956.400738
0.0,285,1957.853943
0.0,341,1959.247127
0.0,283,1960.465493
200.0,418,1962.495136
0.0,396,1964.347006
0.0,343,1965.823688
0.0,471,1968.049684
0.0,274,1969.259312
